B11,B2,B3,B4,B8,Label
26,301,373,209,32,Water
2161,546,630,855,1308,BarrenLand
18,221,320,148,23,Water
1673,432,590,538,2319,Agriculture
1442,523,739,537,2798,Forests
1864,589,761,587,2962,Forests
3094,1022,1236,1328,1456,Infrastructure
194,503,554,426,447,Water
1748,1200,1110,1120,1473,Infrastructure
3399,1560,1732,1778,1693,Infrastructure
2923,749,935,1240,1951,BarrenLand
2502,1098,1172,1302,1263,Infrastructure
1908,1114,1258,1360,1480,Infrastructure
18,251,328,156,24,Water
26,227,238,96,66,Water
1895,604,714,712,1950,Agriculture
2523,588,812,941,2144,BarrenLand
155,379,359,285,323,Water
2339,591,706,935,1533,BarrenLand
1881,1306,1666,1762,2036,Infrastructure
1960,1196,1284,1254,1557,Infrastructure
2439,513,665,724,1890,BarrenLand
1931,428,626,426,2618,Forests
2480,1078,1098,1218,1266,Infrastructure
2440,1178,1260,1356,1367,Infrastructure
2247,513,702,766,1968,BarrenLand
16,211,214,62,1,Water
137,403,475,320,344,Water
1649,682,780,872,1394,Agriculture
23,242,322,158,27,Water
17,270,298,135,45,Water
1440,404,561,385,2230,Forests
1761,703,809,1134,1660,Infrastructure
2013,490,651,637,2084,Agriculture
2379,1620,1926,2002,2316,Infrastructure
2327,552,760,894,2055,BarrenLand
2433,536,685,846,1937,BarrenLand
18,258,333,152,30,Water
2314,552,733,949,1666,BarrenLand
2383,1566,1582,1584,2128,Infrastructure
1854,441,631,420,2430,Forests
2930,731,992,1526,2122,BarrenLand
1664,526,714,562,2416,Agriculture
27,223,247,104,64,Water
1739,637,771,685,2136,Agriculture
3165,693,843,1154,1886,BarrenLand
27,270,380,216,37,Water
1871,1066,1242,1544,1617,Infrastructure
1878,620,804,638,2598,Agriculture
23,217,207,73,60,Water
19,255,324,151,35,Water
2591,657,905,1266,1900,BarrenLand
2380,1912,2116,2236,2595,Infrastructure
1593,498,625,450,2558,Forests
175,532,580,404,449,Water
2007,1230,1400,1628,1745,Infrastructure
1934,558,686,667,2046,Agriculture
2922,833,1013,1310,1991,BarrenLand
1904,490,667,635,2191,Agriculture
2273,569,719,951,1459,BarrenLand
1870,490,660,480,2810,Forests
1648,384,568,428,2010,Forests
18,233,332,156,29,Water
2577,552,714,873,1874,BarrenLand
3108,720,874,1140,1709,BarrenLand
2482,621,851,906,2290,BarrenLand
1436,451,491,557,968,Agriculture
1720,378,552,467,2200,Agriculture
2916,818,930,1206,1935,BarrenLand
2425,529,703,826,1933,BarrenLand
1733,459,593,579,2047,Agriculture
2337,566,724,961,1770,BarrenLand
24,239,314,159,27,Water
2428,1164,1176,1252,1319,Infrastructure
16,159,179,60,1,Water
21,278,368,213,34,Water
1845,902,1064,1194,1438,Infrastructure
2891,730,867,1172,1730,BarrenLand
32,253,386,216,41,Water
2379,1660,1766,1844,2238,Infrastructure
2477,542,711,971,1663,BarrenLand
19,268,309,139,44,Water
28,254,280,130,63,Water
19,247,312,156,29,Water
2274,479,657,727,1832,BarrenLand
2795,658,856,1150,1770,BarrenLand
1780,419,561,529,2176,Agriculture
207,533,593,437,469,Water
2910,1044,1466,1682,1532,Infrastructure
1741,412,568,542,2192,Agriculture
2388,574,765,1058,1820,BarrenLand
3028,622,781,1168,1896,BarrenLand
26,283,286,137,59,Water
2063,747,960,1262,1581,BarrenLand
194,547,617,464,459,Water
2330,571,670,927,1377,BarrenLand
1485,528,643,781,1078,BarrenLand
21,198,200,87,31,Water
1247,489,553,453,1966,Forests
24,243,315,157,25,Water
2011,1080,1100,1500,1713,Infrastructure
17,247,332,148,24,Water
1675,620,764,626,2040,Agriculture
1364,381,516,355,2260,Forests
1182,354,411,271,1582,Forests
2349,561,814,830,2316,BarrenLand
2281,1220,1412,1600,1671,Infrastructure
23,248,312,158,27,Water
2743,634,806,1134,1882,BarrenLand
1589,525,728,522,3084,Forests
17,253,325,148,23,Water
562,652,794,725,741,Water
1343,366,522,335,2070,Forests
21,232,314,158,27,Water
37,314,334,150,79,Water
2413,661,874,1170,1686,BarrenLand
32,294,389,217,37,Water
175,511,606,431,462,Water
2918,831,998,1282,1981,BarrenLand
1892,1354,1386,1528,1886,Infrastructure
2298,550,718,957,1666,BarrenLand
1367,549,603,722,977,BarrenLand
1886,580,778,543,3150,Agriculture
22,260,324,158,29,Water
2482,532,758,834,2299,BarrenLand
2128,1070,1236,1430,1553,Infrastructure
1675,591,770,604,2156,Agriculture
2838,676,883,1156,1938,BarrenLand
1453,489,590,415,2206,Forests
2418,586,777,1014,1842,BarrenLand
2000,592,827,542,3651,Agriculture
142,371,341,264,325,Water
1805,504,671,623,2191,Agriculture
16,200,193,97,53,Water
1731,565,822,541,3326,Forests
1421,617,745,623,2308,Agriculture
2449,603,753,993,1744,BarrenLand
2311,546,816,808,2403,BarrenLand
3288,771,1090,1650,2554,BarrenLand
2681,865,1040,1330,1866,BarrenLand
1248,492,582,466,2286,Forests
1974,901,1204,1544,1732,BarrenLand
1779,915,967,1094,1380,Infrastructure
976,554,588,678,893,Agriculture
24,231,317,157,25,Water
2715,605,768,1094,1939,BarrenLand
2392,669,891,1200,1702,BarrenLand
2224,1454,1450,1482,1747,Infrastructure
29,270,368,209,34,Water
3065,752,991,1208,2299,BarrenLand
2918,1584,1798,1930,2033,Infrastructure
1793,484,641,583,2186,Forests
21,208,219,75,1,Water
2477,602,761,1074,1832,BarrenLand
2298,722,968,1296,1799,BarrenLand
1601,539,662,600,2054,Agriculture
2443,886,1190,1626,1868,BarrenLand
2320,734,963,1218,1672,BarrenLand
2348,539,703,875,1910,BarrenLand
2448,528,695,736,2121,BarrenLand
1908,1290,1514,1500,1763,Infrastructure
34,287,378,216,41,Water
4011,1730,2240,2678,2822,Infrastructure
1652,475,659,440,2128,Forests
19,235,225,104,68,Water
1595,536,653,626,2182,Agriculture
2001,962,1240,1292,1910,Infrastructure
20,277,319,154,25,Water
1973,359,661,426,2951,Agriculture
1832,1096,1108,1252,1372,Infrastructure
4023,827,1044,1476,2322,Agriculture
1501,539,709,452,2482,Forests
1501,517,644,433,2348,Forests
213,532,617,481,457,Water
1785,498,697,485,2608,Forests
2413,662,841,1124,1664,BarrenLand
2334,659,835,1094,1651,BarrenLand
156,373,338,283,302,Water
2000,579,814,527,3496,Agriculture
8,189,192,90,22,Water
1498,304,513,419,1990,Agriculture
1421,624,720,626,2326,Agriculture
3174,1296,1484,1648,1515,Infrastructure
19,254,318,154,27,Water
2421,504,730,758,2189,BarrenLand
1916,1136,1260,1252,1494,Infrastructure
2825,708,882,1224,1892,BarrenLand
24,206,220,97,62,Water
27,245,243,112,74,Water
2869,742,904,1224,1941,BarrenLand
1818,1314,1316,1582,1649,Infrastructure
29,278,389,199,34,Water
2117,1536,1808,2036,2508,Infrastructure
1675,788,991,1038,1770,Infrastructure
2412,589,712,804,1860,BarrenLand
2420,539,737,842,2088,BarrenLand
1901,1426,1616,1686,1799,Infrastructure
3256,827,1174,1712,2680,BarrenLand
1325,353,492,346,2004,Forests
1421,372,498,375,2124,Forests
200,464,562,402,420,Water
1579,430,562,362,2404,Forests
1440,472,645,409,2294,Forests
31,294,334,148,82,Water
1731,565,794,592,3464,Forests
1294,569,687,524,2596,Forests
341,463,434,313,465,Water
1420,415,471,543,972,Agriculture
1649,372,556,434,2338,Agriculture
19,253,318,154,29,Water
3192,2504,2850,3152,3239,Infrastructure
3154,2066,2210,2478,2568,Infrastructure
19,262,334,150,27,Water
1833,629,878,579,2950,Agriculture
2143,1194,1360,1490,1801,Infrastructure
2299,607,720,1005,1383,BarrenLand
2345,564,760,821,2147,BarrenLand
20,211,227,108,71,Water
2747,644,885,1230,1981,BarrenLand
2475,886,1154,1594,1909,BarrenLand
3204,2296,2564,2746,2851,Infrastructure
284,551,542,426,549,Water
2231,656,877,1188,1669,BarrenLand
25,238,323,157,25,Water
1629,447,643,512,2608,Forests
2158,576,697,952,1383,BarrenLand
139,357,322,265,277,Water
29,253,389,210,31,Water
2401,609,714,965,1504,BarrenLand
2486,884,1226,1722,1964,BarrenLand
20,211,199,87,43,Water
204,548,610,462,465,Water
1480,457,623,446,2348,Forests
21,283,369,207,34,Water
1948,511,733,510,3288,Forests
2385,1122,1226,1302,1334,Infrastructure
23,192,218,74,1,Water
2243,527,618,814,1349,BarrenLand
22,259,373,209,33,Water
2297,510,646,731,2003,BarrenLand
1780,658,771,683,2268,Agriculture
32,295,374,216,33,Water
26,269,290,137,56,Water
1785,533,669,520,2446,Forests
60,186,232,73,1,Water
187,390,344,300,313,Water
31,316,331,149,74,Water
2415,703,918,1164,1716,BarrenLand
3255,1510,2092,2270,2081,Infrastructure
2400,590,708,920,1770,BarrenLand
1485,521,564,669,907,BarrenLand
1590,542,686,725,1546,Agriculture
1500,724,830,825,1628,Agriculture
1565,514,935,495,3591,Agriculture
2016,717,908,1102,1624,BarrenLand
2779,1290,1434,1544,1629,Infrastructure
2243,1122,1126,1320,1590,Infrastructure
1877,513,720,687,2337,Agriculture
2462,677,830,1116,1672,BarrenLand
27,230,240,102,65,Water
1348,556,589,706,979,BarrenLand
2904,958,1316,1734,2583,BarrenLand
19,202,194,94,47,Water
1221,502,496,554,716,BarrenLand
1739,972,1038,1198,1730,Infrastructure
1796,354,554,432,2609,Agriculture
1896,554,694,642,2056,Agriculture
2384,1814,2158,2264,2685,Infrastructure
2340,472,644,739,1857,BarrenLand
2519,541,787,891,2094,BarrenLand
2241,585,735,968,1754,BarrenLand
1648,372,573,494,1564,Forests
2428,1248,1578,1588,2130,Infrastructure
1938,561,667,699,1974,Agriculture
1454,612,716,637,2232,Agriculture
1597,568,713,591,2303,Agriculture
1339,487,508,595,820,BarrenLand
2698,875,1098,1388,1960,BarrenLand
18,200,204,50,1,Water
3138,824,1132,1578,2576,BarrenLand
209,509,585,411,470,Water
3433,1826,1970,2048,1923,Infrastructure
21,216,200,87,57,Water
1453,401,533,350,2216,Forests
1417,448,614,466,2126,Forests
156,386,349,283,313,Water
2138,516,594,776,1261,BarrenLand
890,507,554,622,866,Agriculture
1687,432,579,413,2290,Forests
1579,400,662,405,2800,Forests
2231,547,753,763,2249,BarrenLand
